2026-07-14 14:49:16.551 | INFO     | app.parser.list_parser:parse_raw_data:314 | 列表解析完成: 165 片段 → 94 唯一商品
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   asin: 94/94 (100%)
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   card_type: 94/94 (100%)
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   title: 93/94 (99%)
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   current_price_raw: 71/94 (76%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   current_price: 71/94 (76%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   list_price_raw: 45/94 (48%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   rating: 93/94 (99%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   review_count: 93/94 (99%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   monthly_sales: 83/94 (88%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   delivery_info: 71/94 (76%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   image_url: 93/94 (99%)
2026-07-14 14:49:16.553 | INFO     | __main__:crawl:80 | 关键词 'keyboard': 解析出 94 个商品
2026-07-14 14:49:16.569 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GJZ76PFT
2026-07-14 14:49:16.592 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GLZ5K374
2026-07-14 14:49:16.605 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B005EJH6RW
2026-07-14 14:49:16.618 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B00Z9V0NKC
2026-07-14 14:49:16.631 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FYF2H8MB
2026-07-14 14:49:16.644 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B011HMDZ0Q
2026-07-14 14:49:16.656 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G34YSRRZ
2026-07-14 14:49:16.670 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B01BC4TXXC
2026-07-14 14:49:16.683 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FY5LNRCK
2026-07-14 14:49:16.695 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DR8LK5B5
2026-07-14 14:49:16.708 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09YR2RQ5P
2026-07-14 14:49:16.721 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07WCW1PB3
2026-07-14 14:49:16.734 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B082V7PWD1
2026-07-14 14:49:16.754 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DG5SW7F4
2026-07-14 14:49:16.766 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GF1VMNJP
2026-07-14 14:49:16.781 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07R22YVNP
2026-07-14 14:49:16.793 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07FNJB8TT
2026-07-14 14:49:16.806 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CP3HTHLZ
2026-07-14 14:49:16.820 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B005EJH6Z4
2026-07-14 14:49:16.833 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FRN2Z4JF
2026-07-14 14:49:16.846 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09F99B8SX
2026-07-14 14:49:16.860 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CPSP33T8
2026-07-14 14:49:16.872 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B094698CSV
2026-07-14 14:49:16.885 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CVW5GVYF
2026-07-14 14:49:16.899 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GWQVDHP9
2026-07-14 14:49:16.912 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BXNR9DB6
2026-07-14 14:49:16.926 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G34Z69WF
2026-07-14 14:49:16.938 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FBRK2Y6B
2026-07-14 14:49:16.952 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GTGB36DB
2026-07-14 14:49:16.966 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DBT4FMWC
2026-07-14 14:49:16.979 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07CMS5Q6P
2026-07-14 14:49:16.991 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B087Z5WDJ2
2026-07-14 14:49:17.005 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BRKJC6L8
2026-07-14 14:49:17.019 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G5PXP8VC
2026-07-14 14:49:17.032 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G43TVGCG
